#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 13 12 30 00 1 4431.466
2011 03 13 12 15 00 1 4431.467
2011 03 13 12 00 00 1 4431.448
2011 03 13 11 45 00 1 4431.408
2011 03 13 11 30 00 1 4431.392
2011 03 13 11 15 00 1 4431.363
2011 03 13 11 00 00 1 4431.359
2011 03 13 10 45 00 1 4431.367
2011 03 13 10 30 00 1 4431.345
2011 03 13 10 15 00 1 4431.326
2011 03 13 10 00 00 1 4431.343
2011 03 13 09 45 00 1 4431.345
2011 03 13 09 30 00 1 4431.352
2011 03 13 09 15 00 1 4431.363
2011 03 13 09 00 00 1 4431.376
2011 03 13 08 45 00 1 4431.383
2011 03 13 08 30 00 1 4431.406
2011 03 13 08 15 00 1 4431.424
2011 03 13 08 00 00 1 4431.457
2011 03 13 07 45 00 1 4431.465
2011 03 13 07 30 00 1 4431.505
2011 03 13 07 15 00 1 4431.521
2011 03 13 07 00 00 1 4431.558
2011 03 13 06 45 00 1 4431.576
2011 03 13 06 30 00 1 4431.609
2011 03 13 06 15 00 1 4431.650
2011 03 13 06 00 00 1 4431.688
2011 03 13 05 45 00 1 4431.713
2011 03 13 05 30 00 1 4431.722
2011 03 13 05 15 00 1 4431.772
2011 03 13 05 00 00 1 4431.801
2011 03 13 04 45 00 1 4431.826
2011 03 13 04 30 00 1 4431.865
2011 03 13 04 15 00 1 4431.873
2011 03 13 04 00 00 1 4431.899
2011 03 13 03 45 00 1 4431.915
2011 03 13 03 30 00 1 4431.931
2011 03 13 03 15 00 1 4431.959
2011 03 13 03 00 00 1 4431.959
2011 03 13 02 45 00 1 4431.979
2011 03 13 02 30 00 1 4431.978
2011 03 13 02 15 00 1 4431.975
2011 03 13 02 00 00 1 4431.977
2011 03 13 01 45 00 1 4431.990
2011 03 13 01 30 00 1 4431.977
2011 03 13 01 15 00 1 4431.973
2011 03 13 01 00 00 1 4431.972
2011 03 13 00 45 00 1 4431.972
2011 03 13 00 30 00 1 4431.965
2011 03 13 00 15 00 1 4431.941
2011 03 13 00 00 00 1 4431.943
2011 03 12 23 45 00 1 4431.928
2011 03 12 23 30 00 1 4431.925
2011 03 12 23 15 00 1 4431.902
2011 03 12 23 00 00 1 4431.892
2011 03 12 22 45 00 1 4431.893
2011 03 12 22 30 00 1 4431.890
2011 03 12 22 15 00 1 4431.891
2011 03 12 22 00 00 1 4431.877
2011 03 12 21 45 00 1 4431.870
2011 03 12 21 30 00 1 4431.872
2011 03 12 21 15 00 1 4431.861
2011 03 12 21 00 00 1 4431.861
2011 03 12 20 45 00 1 4431.850
2011 03 12 20 30 00 1 4431.853
2011 03 12 20 15 00 1 4431.869
2011 03 12 20 00 00 1 4431.857
2011 03 12 19 45 00 1 4431.868
2011 03 12 19 30 00 1 4431.865
2011 03 12 19 15 00 1 4431.872
