#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 12 11 54 00 2 5736.812
2011 03 12 11 53 00 2 5736.817
2011 03 12 11 52 00 2 5736.819
2011 03 12 11 51 00 2 5736.824
2011 03 12 11 50 00 2 5736.823
2011 03 12 11 49 00 2 5736.822
2011 03 12 11 48 00 2 5736.830
2011 03 12 11 47 00 2 5736.833
2011 03 12 11 46 00 2 5736.836
2011 03 12 11 45 00 2 5736.840
2011 03 12 11 44 00 2 5736.839
2011 03 12 11 43 00 2 5736.839
2011 03 12 11 42 00 2 5736.846
2011 03 12 11 41 00 2 5736.848
2011 03 12 11 40 00 2 5736.842
2011 03 12 11 39 00 2 5736.836
2011 03 12 11 38 00 2 5736.833
2011 03 12 11 37 00 2 5736.842
2011 03 12 11 36 00 2 5736.835
2011 03 12 11 35 00 2 5736.834
2011 03 12 11 34 00 2 5736.836
2011 03 12 11 33 00 2 5736.832
2011 03 12 11 32 00 2 5736.829
2011 03 12 11 31 00 2 5736.820
2011 03 12 11 30 00 2 5736.814
2011 03 12 11 29 00 2 5736.818
2011 03 12 11 28 00 2 5736.816
2011 03 12 11 27 00 2 5736.815
2011 03 12 11 26 00 2 5736.815
2011 03 12 11 25 00 2 5736.813
2011 03 12 11 24 00 2 5736.813
2011 03 12 11 23 00 2 5736.818
2011 03 12 11 22 00 2 5736.822
2011 03 12 11 21 00 2 5736.825
2011 03 12 11 20 00 2 5736.823
2011 03 12 11 19 00 2 5736.819
2011 03 12 11 18 00 2 5736.819
2011 03 12 11 17 00 2 5736.818
2011 03 12 11 16 00 2 5736.816
2011 03 12 11 15 00 2 5736.821
2011 03 12 11 14 00 2 5736.821
2011 03 12 11 13 00 2 5736.817
2011 03 12 11 12 00 2 5736.811
2011 03 12 11 11 00 2 5736.812
2011 03 12 11 10 00 2 5736.819
2011 03 12 11 09 00 2 5736.822
2011 03 12 11 08 00 2 5736.820
2011 03 12 11 07 00 2 5757.756
2011 03 12 11 06 00 2 5736.820
2011 03 12 11 05 00 2 5736.813
2011 03 12 11 04 00 2 5756.339
2011 03 12 11 03 00 2 5736.818
2011 03 12 11 02 00 2 5736.811
2011 03 12 11 01 00 2 5756.193
2011 03 12 11 00 00 2 5736.808
2011 03 12 10 59 00 2 5736.806
2011 03 12 10 58 00 2 5736.813
2011 03 12 10 57 00 2 5736.815
2011 03 12 10 56 00 2 5736.815
2011 03 12 10 55 00 2 5736.817
2011 03 12 10 54 00 2 5736.816
2011 03 12 10 53 00 2 5736.818
2011 03 12 10 52 00 2 5736.813
2011 03 12 10 51 00 2 5736.811
2011 03 12 10 50 00 2 5736.812
2011 03 12 10 49 00 2 5736.812
2011 03 12 10 48 00 2 5736.805
2011 03 12 10 47 00 2 5736.805
2011 03 12 10 46 00 2 5736.809
2011 03 12 10 45 00 2 5736.812
2011 03 12 10 44 00 2 5736.814
2011 03 12 10 43 00 2 5736.809
2011 03 12 10 42 00 2 5736.803
2011 03 12 10 41 00 2 5736.802
2011 03 12 10 40 00 2 5736.802
2011 03 12 10 39 00 2 5736.798
2011 03 12 10 38 00 2 5736.799
2011 03 12 10 37 00 2 5736.806
2011 03 12 10 36 00 2 5736.808
2011 03 12 10 35 00 2 5736.807
2011 03 12 10 34 00 2 5736.806
2011 03 12 10 33 00 2 5736.808
2011 03 12 10 32 00 2 5736.806
2011 03 12 10 31 00 2 5736.797
2011 03 12 10 30 00 2 5736.795
2011 03 12 10 29 00 2 5736.797
2011 03 12 10 28 00 2 5736.803
2011 03 12 10 27 00 2 5736.800
2011 03 12 10 26 00 2 5736.793
2011 03 12 10 25 00 2 5736.794
2011 03 12 10 24 00 2 5736.799
2011 03 12 10 23 00 2 5736.802
2011 03 12 10 22 00 2 5736.796
2011 03 12 10 21 00 2 5736.800
2011 03 12 10 20 00 2 5736.811
2011 03 12 10 19 00 2 5736.809
2011 03 12 10 18 00 2 5736.809
2011 03 12 10 17 00 2 5736.804
2011 03 12 10 16 00 2 5736.798
2011 03 12 10 15 00 2 5736.796
2011 03 12 10 14 00 2 5736.790
2011 03 12 10 13 00 2 5736.786
2011 03 12 10 12 00 2 5736.782
2011 03 12 10 11 00 2 5736.781
2011 03 12 10 10 00 2 5736.782
2011 03 12 10 09 00 2 5736.785
2011 03 12 10 08 00 2 5736.788
2011 03 12 10 07 00 2 5757.871
2011 03 12 10 06 00 2 5736.798
2011 03 12 10 05 00 2 5736.796
2011 03 12 10 04 00 2 5757.406
2011 03 12 10 03 00 2 5736.797
2011 03 12 10 02 00 2 5736.798
2011 03 12 10 01 00 2 5755.768
2011 03 12 10 00 00 2 5736.786
2011 03 12 09 59 00 2 5736.793
2011 03 12 09 58 00 2 5736.793
2011 03 12 09 57 00 2 5736.786
2011 03 12 09 56 00 2 5736.780
2011 03 12 09 55 00 2 5736.778
2011 03 12 09 54 00 2 5736.782
2011 03 12 09 53 00 2 5736.781
2011 03 12 09 52 00 2 5736.774
2011 03 12 09 51 00 2 5736.769
2011 03 12 09 50 00 2 5736.757
2011 03 12 09 49 00 2 5736.751
2011 03 12 09 48 00 2 5736.751
2011 03 12 09 47 00 2 5736.748
2011 03 12 09 46 00 2 5736.754
2011 03 12 09 45 00 2 5736.755
2011 03 12 09 44 00 2 5736.753
2011 03 12 09 43 00 2 5736.748
2011 03 12 09 42 00 2 5736.743
2011 03 12 09 41 00 2 5736.741
2011 03 12 09 40 00 2 5736.746
2011 03 12 09 39 00 2 5736.745
2011 03 12 09 38 00 2 5736.738
2011 03 12 09 37 00 2 5736.730
2011 03 12 09 36 00 2 5736.734
2011 03 12 09 35 00 2 5736.742
2011 03 12 09 34 00 2 5736.745
2011 03 12 09 33 00 2 5736.745
2011 03 12 09 32 00 2 5736.742
2011 03 12 09 31 00 2 5736.748
2011 03 12 09 30 00 2 5736.749
2011 03 12 09 29 00 2 5736.744
2011 03 12 09 28 00 2 5736.746
2011 03 12 09 27 00 2 5736.744
2011 03 12 09 26 00 2 5736.738
2011 03 12 09 25 00 2 5736.735
2011 03 12 09 24 00 2 5736.733
2011 03 12 09 23 00 2 5736.734
2011 03 12 09 22 00 2 5736.731
2011 03 12 09 21 00 2 5736.728
2011 03 12 09 20 00 2 5736.725
2011 03 12 09 19 00 2 5736.725
2011 03 12 09 18 00 2 5736.722
2011 03 12 09 17 00 2 5736.726
2011 03 12 09 16 00 2 5736.731
2011 03 12 09 15 00 2 5736.729
2011 03 12 09 14 00 2 5736.728
2011 03 12 09 13 00 2 5736.726
2011 03 12 09 12 00 2 5736.730
2011 03 12 09 11 00 2 5736.731
2011 03 12 09 10 00 2 5736.732
2011 03 12 09 09 00 2 5736.733
2011 03 12 09 08 00 2 5736.733
2011 03 12 09 07 00 2 5759.747
2011 03 12 09 06 00 2 5736.738
2011 03 12 09 05 00 2 5736.735
2011 03 12 09 04 00 2 5759.920
2011 03 12 09 03 00 2 5736.716
2011 03 12 09 02 00 2 5736.717
2011 03 12 09 01 00 2 5760.981
2011 03 12 09 00 00 2 5736.720
2011 03 12 08 59 00 2 5736.714
2011 03 12 08 58 00 2 5736.713
2011 03 12 08 57 00 2 5736.710
